,test,val,train
mse,0.1767091155052185,0.1143374815583229,0.11039372533559799
mae,0.2983208894729614,0.24260403215885162,0.22791969776153564
rmse,0.4203678369522095,0.33813825249671936,0.3322555124759674
r2,0.6686078512559268,0.5551579807112403,0.8926235110699204
