epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,1.6775401830673218,0.001,0.7516764998435974,0.45682960748672485,0.3066045939922333
1,0.9067457914352417,0.001,0.637201726436615,0.2474920153617859,0.3233327567577362
2,0.8780159950256348,0.001,0.6615697741508484,0.2044467031955719,0.33225858211517334
3,0.4377579689025879,0.001,0.4997411370277405,0.19263072311878204,0.33715176582336426
4,0.36195603013038635,0.001,0.4515959620475769,0.17745472490787506,0.3340482711791992
5,0.36143049597740173,0.001,0.4557360112667084,0.23260267078876495,0.40387290716171265
6,0.4267217814922333,0.001,0.47375357151031494,0.24445484578609467,0.41295450925827026
7,0.42899367213249207,0.001,0.478600412607193,0.16326643526554108,0.31136348843574524
8,0.38973450660705566,0.001,0.48177555203437805,0.16794662177562714,0.30697551369667053
9,0.351169615983963,0.001,0.4507346451282501,0.18871553242206573,0.35307198762893677
10,0.39516934752464294,0.001,0.4644573926925659,0.245002880692482,0.41668838262557983
11,0.41042718291282654,0.001,0.48161715269088745,0.2740510106086731,0.4366523027420044
12,0.48095637559890747,0.001,0.5098633766174316,0.24454548954963684,0.41508033871650696
13,0.3787837624549866,0.001,0.4553338885307312,0.17297904193401337,0.33455130457878113
14,0.3318818509578705,0.001,0.431836873292923,0.23364770412445068,0.39178466796875
15,0.3234250843524933,0.001,0.43334197998046875,0.4317895472049713,0.5518268942832947
16,0.4318891763687134,0.001,0.47676509618759155,0.20800121128559113,0.37722262740135193
17,0.45789819955825806,0.001,0.4882752001285553,0.3544820249080658,0.5139034390449524
18,0.26798340678215027,0.000100000005,0.3844611644744873,0.17620491981506348,0.3461989462375641
19,0.24698790907859802,0.000100000005,0.36939990520477295,0.16373968124389648,0.3327140510082245
20,0.24497514963150024,0.000100000005,0.3659587502479553,0.15908697247505188,0.32750454545021057
21,0.24383647739887238,0.000100000005,0.3647671639919281,0.1590704470872879,0.32842180132865906
22,0.24394167959690094,0.000100000005,0.36397552490234375,0.15961357951164246,0.3296383321285248
23,0.24387413263320923,0.000100000005,0.363561749458313,0.16011421382427216,0.3307081162929535
24,0.24318186938762665,0.000100000005,0.3631628453731537,0.16015256941318512,0.33096471428871155
25,0.2427382916212082,0.000100000005,0.3626086413860321,0.15987269580364227,0.3304860293865204
26,0.243087038397789,0.000100000005,0.36218714714050293,0.16031329333782196,0.33097389340400696
27,0.24385681748390198,0.000100000005,0.36244022846221924,0.16141250729560852,0.33257222175598145
28,0.24318230152130127,0.000100000005,0.3624522089958191,0.16332386434078217,0.33534300327301025
29,0.24352425336837769,0.000100000005,0.36361217498779297,0.16317449510097504,0.33541229367256165
30,0.24415147304534912,0.000100000005,0.36418402194976807,0.16299201548099518,0.33507710695266724
31,0.23153313994407654,1.0000001e-05,0.36440104246139526,0.1557474434375763,0.3202475905418396
32,0.23165954649448395,1.0000001e-05,0.35966289043426514,0.1540767103433609,0.31411170959472656
