,test,val,train
mse,0.3326874375343323,0.1496250480413437,0.22846537828445435
mae,0.4251767098903656,0.30318140983581543,0.3525754511356354
rmse,0.5767906308174133,0.3868139684200287,0.47798052430152893
r2,0.37609327871662457,0.4178679475952367,0.7777789167919116
