epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.5932788848876953,1e-04,0.5801346302032471,0.18631324172019958,0.33716171979904175
1,0.280206561088562,1e-04,0.3981006145477295,0.1471891850233078,0.3006375730037689
2,0.19620461761951447,1e-04,0.33051013946533203,0.12684980034828186,0.2791888117790222
3,0.15839721262454987,1e-04,0.29492896795272827,0.11343392729759216,0.2637975215911865
4,0.13400495052337646,1e-04,0.2682918310165405,0.10388799756765366,0.25029438734054565
5,0.11664803326129913,1e-04,0.2480725198984146,0.09627736359834671,0.23861844837665558
6,0.1040884256362915,1e-04,0.23241093754768372,0.09270752221345901,0.23234045505523682
7,0.09483052790164948,1e-04,0.22035497426986694,0.09112080186605453,0.22869084775447845
8,0.08704079687595367,1e-04,0.2099345177412033,0.09075380116701126,0.22729294002056122
9,0.08153963088989258,1e-04,0.20259803533554077,0.09116893261671066,0.22852745652198792
10,0.07689277082681656,1e-04,0.19644424319267273,0.09291831403970718,0.23417213559150696
11,0.07379559427499771,1e-04,0.19185374677181244,0.09530998021364212,0.23997583985328674
12,0.07010285556316376,1e-04,0.18637190759181976,0.09542089700698853,0.2409561574459076
13,0.06744273751974106,1e-04,0.182646706700325,0.09683357924222946,0.24344804883003235
14,0.06612078100442886,1e-04,0.18162333965301514,0.09781994670629501,0.24580635130405426
15,0.06745527684688568,1e-04,0.18518300354480743,0.09200974553823471,0.2401222586631775
16,0.07356340438127518,1e-04,0.1974080502986908,0.08861175924539566,0.23715117573738098
17,0.0791977196931839,1e-04,0.2026003897190094,0.09381377696990967,0.23908481001853943
18,0.08329080045223236,1e-04,0.20954804122447968,0.13492631912231445,0.29022663831710815
19,0.08274678885936737,1e-04,0.20716263353824615,0.1813545972108841,0.3464576005935669
20,0.06269070506095886,1e-04,0.17810820043087006,0.1498354822397232,0.3100929260253906
21,0.06121917814016342,1e-04,0.17264798283576965,0.16524645686149597,0.32945311069488525
22,0.062046702951192856,1e-04,0.17633399367332458,0.18820668756961823,0.3588881194591522
23,0.06377114355564117,1e-04,0.17775480449199677,0.20373784005641937,0.37795290350914
24,0.056879717856645584,1e-04,0.16811445355415344,0.18154506385326385,0.3534209132194519
25,0.0637994334101677,1e-04,0.18013587594032288,0.1912403404712677,0.3651789426803589
26,0.06215294823050499,1e-04,0.17850926518440247,0.17276164889335632,0.34357357025146484
27,0.07386667281389236,1e-05,0.20064814388751984,0.0678793415427208,0.1946675181388855
28,0.05321146547794342,1e-05,0.16613127291202545,0.06513455510139465,0.1931057572364807
29,0.048177316784858704,1e-05,0.15681560337543488,0.06251260638237,0.1884615421295166
30,0.04534927383065224,1e-05,0.15068098902702332,0.06052728369832039,0.18462270498275757
31,0.04341400787234306,1e-05,0.14646148681640625,0.059170983731746674,0.18176859617233276
32,0.042001500725746155,1e-05,0.14312203228473663,0.05824601650238037,0.18012313544750214
33,0.04092301055788994,1e-05,0.14048682153224945,0.05757284536957741,0.17885039746761322
34,0.03997138515114784,1e-05,0.13822722434997559,0.05707670748233795,0.1779458373785019
35,0.03921285271644592,1e-05,0.13629187643527985,0.05666504427790642,0.1773264855146408
36,0.03852856904268265,1e-05,0.13460516929626465,0.0563410222530365,0.1768384426832199
37,0.037930309772491455,1e-05,0.1330510973930359,0.056068550795316696,0.17649483680725098
38,0.03736431524157524,1e-05,0.1316060721874237,0.05588141828775406,0.17637541890144348
39,0.03685781732201576,1e-05,0.1302255541086197,0.05572168529033661,0.17629891633987427
40,0.03635777160525322,1e-05,0.12895332276821136,0.05560564249753952,0.1763012409210205
41,0.035945795476436615,1e-05,0.12788991630077362,0.055469926446676254,0.17624184489250183
42,0.03548579290509224,1e-05,0.12676064670085907,0.05535129830241203,0.17627249658107758
43,0.03508099168539047,1e-05,0.12564252316951752,0.05523467808961868,0.17640988528728485
44,0.03470033034682274,1e-05,0.12459829449653625,0.05514969676733017,0.1763300746679306
45,0.03433454781770706,1e-05,0.12375129759311676,0.055019352585077286,0.17631952464580536
46,0.03393486514687538,1e-05,0.12265628576278687,0.0549059733748436,0.17654719948768616
47,0.03363635763525963,1e-05,0.1219559833407402,0.05486905947327614,0.17678585648536682
48,0.03333234786987305,1e-05,0.12114866077899933,0.05469935014843941,0.17674647271633148
49,0.03301836550235748,1e-05,0.12039145082235336,0.05455199256539345,0.1766723096370697
50,0.032678648829460144,1e-05,0.11946358531713486,0.054431378841400146,0.17665182054042816
51,0.03239648416638374,1e-05,0.11876986175775528,0.05434849113225937,0.17663614451885223
52,0.03208422288298607,1e-05,0.11807596683502197,0.054257556796073914,0.17688427865505219
53,0.03184376657009125,1e-05,0.11738016456365585,0.05408143624663353,0.17671944200992584
54,0.03153962269425392,1e-05,0.11669333279132843,0.05396164953708649,0.17663589119911194
55,0.03125175088644028,1e-05,0.11602679640054703,0.05387484282255173,0.17690424621105194
56,0.030966993421316147,1e-05,0.1153852790594101,0.05373029038310051,0.1767134964466095
57,0.03073940984904766,1e-05,0.11475246399641037,0.05366865172982216,0.17700564861297607
58,0.030451186001300812,1e-05,0.11404842138290405,0.053514983505010605,0.17682354152202606
59,0.030254770070314407,1e-05,0.11350984871387482,0.053434889763593674,0.17691193521022797
