,test,val,train
mse,0.08082880824804306,0.03310270607471466,0.008449840359389782
mae,0.19134464859962463,0.13395516574382782,0.05175026133656502
rmse,0.28430408239364624,0.18194149434566498,0.09192301332950592
r2,0.848258423293388,0.8716734589307156,0.9917827932037193
