,test,val,train
mse,0.04634155333042145,0.03368563950061798,0.02780497446656227
mae,0.14967456459999084,0.13356417417526245,0.11143077909946442
rmse,0.21527089178562164,0.18353646993637085,0.16674824059009552
winding_r2,0.9323591754132444,0.934081495226854,0.9715620785384507
tooth_r2,0.9246750893671373,0.9496081594731187,0.9700580570516402
yoke_r2,0.9405568071380507,0.9781031394837972,0.9740045008275667
overall_r2,0.9325303573061445,0.9539309313945897,0.9718748788058825
