,test,val,train
mse,0.051323894411325455,0.021877195686101913,0.014620690606534481
mae,0.15243102610111237,0.10526065528392792,0.07316837459802628
rmse,0.22654776275157928,0.14790941774845123,0.12091603875160217
winding_r2,0.9050848357279014,0.9648328796806745,0.9846019789434644
tooth_r2,0.9121264485298857,0.9680794802456115,0.9835907068096428
yoke_r2,0.9516613769803146,0.980115482254713,0.9874912029238039
overall_r2,0.9229575537460343,0.9710092807269994,0.9852279628923015
