epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.7282799482345581,1e-04,0.6543586254119873,0.33745500445365906,0.4695115089416504
1,0.45607998967170715,1e-04,0.5267300605773926,0.3029654622077942,0.4473819434642792
2,0.3772065043449402,1e-04,0.47902750968933105,0.28640973567962646,0.4373982548713684
3,0.343197762966156,1e-04,0.45630812644958496,0.27611058950424194,0.4317516088485718
4,0.32291704416275024,1e-04,0.4417593777179718,0.2677178680896759,0.426675945520401
5,0.3084650933742523,1e-04,0.43074336647987366,0.26115918159484863,0.4225286543369293
6,0.2977275550365448,1e-04,0.42194700241088867,0.25624746084213257,0.4192999005317688
7,0.28858891129493713,1e-04,0.4145236909389496,0.24993355572223663,0.41407275199890137
8,0.2808586061000824,1e-04,0.40802687406539917,0.24469609558582306,0.40962985157966614
9,0.27426835894584656,1e-04,0.4024623930454254,0.24000559747219086,0.40546077489852905
10,0.2685631811618805,1e-04,0.397566020488739,0.23618711531162262,0.4024779498577118
11,0.2634911835193634,1e-04,0.3933607339859009,0.23195365071296692,0.39879608154296875
12,0.2593752145767212,1e-04,0.38978615403175354,0.22912777960300446,0.3968050479888916
13,0.2552962899208069,1e-04,0.3859901428222656,0.2272506058216095,0.39575594663619995
14,0.25190961360931396,1e-04,0.383198082447052,0.2246427983045578,0.3938194513320923
15,0.2486034631729126,1e-04,0.3801628053188324,0.22250688076019287,0.3923071324825287
16,0.245400533080101,1e-04,0.37744417786598206,0.22014029324054718,0.39043089747428894
17,0.2429639995098114,1e-04,0.37526389956474304,0.21777068078517914,0.3883112370967865
18,0.24000658094882965,1e-04,0.37276098132133484,0.21537376940250397,0.38631072640419006
19,0.2377912998199463,1e-04,0.3707793951034546,0.21291100978851318,0.38403815031051636
20,0.23540420830249786,1e-04,0.3686767816543579,0.2120872437953949,0.3837023079395294
21,0.23315319418907166,1e-04,0.3667117655277252,0.21007369458675385,0.3818512260913849
22,0.23080584406852722,1e-04,0.3645586371421814,0.20907610654830933,0.3811508119106293
23,0.22917377948760986,1e-04,0.363232284784317,0.20793800055980682,0.38031837344169617
24,0.22731491923332214,1e-04,0.36154669523239136,0.20590798556804657,0.37826934456825256
25,0.22542908787727356,1e-04,0.35985931754112244,0.20577555894851685,0.37841570377349854
26,0.2236262559890747,1e-04,0.3583088219165802,0.2033790647983551,0.3761022984981537
27,0.22212259471416473,1e-04,0.3568181097507477,0.2025499939918518,0.3754245340824127
28,0.22056686878204346,1e-04,0.3554142117500305,0.20196758210659027,0.37505561113357544
29,0.21906276047229767,1e-04,0.35398969054222107,0.20096923410892487,0.3742123246192932
30,0.2174944132566452,1e-04,0.3526131808757782,0.19999611377716064,0.3732244670391083
31,0.216109037399292,1e-04,0.35128253698349,0.1984383910894394,0.3716072142124176
32,0.21459849178791046,1e-04,0.349855899810791,0.19815146923065186,0.37131258845329285
33,0.2134290635585785,1e-04,0.3487919270992279,0.1959785521030426,0.3690689206123352
34,0.21196669340133667,1e-04,0.34746888279914856,0.1961871236562729,0.369387686252594
35,0.21060654520988464,1e-04,0.3461669683456421,0.19483435153961182,0.36791980266571045
36,0.2094426155090332,1e-04,0.34504586458206177,0.19460612535476685,0.3676719069480896
37,0.2086026668548584,1e-04,0.344196617603302,0.19322335720062256,0.36610376834869385
38,0.20734144747257233,1e-04,0.34306249022483826,0.1918475478887558,0.3644828498363495
39,0.2063620537519455,1e-04,0.34210631251335144,0.19250260293483734,0.3650990426540375
40,0.2052152156829834,1e-04,0.340927392244339,0.19078662991523743,0.3632086515426636
41,0.20421622693538666,1e-04,0.3401337265968323,0.19090470671653748,0.3634018898010254
42,0.2033303678035736,1e-04,0.339237779378891,0.190560981631279,0.3629632592201233
43,0.20251061022281647,1e-04,0.3384515345096588,0.1891203075647354,0.36136046051979065
44,0.20133650302886963,1e-04,0.3373580873012543,0.18870152533054352,0.36083847284317017
45,0.2004418820142746,1e-04,0.3364778459072113,0.18831080198287964,0.3605184555053711
46,0.19967064261436462,1e-04,0.3357664942741394,0.18765155971050262,0.35978564620018005
47,0.19868837296962738,1e-04,0.33482131361961365,0.18661583960056305,0.358578622341156
48,0.19758430123329163,1e-04,0.33375293016433716,0.18625955283641815,0.35823291540145874
49,0.1969580352306366,1e-04,0.33315542340278625,0.18598288297653198,0.3578546941280365
50,0.1960916519165039,1e-04,0.3322363495826721,0.18559056520462036,0.35745012760162354
