,test,val,train
mse,0.3188895881175995,0.11906568706035614,0.11815784126520157
mae,0.4462447464466095,0.26032397150993347,0.24968285858631134
rmse,0.564703106880188,0.34505897760391235,0.34374094009399414
r2,0.4013420140932097,0.538427861357558,0.8850951681481728
