,test,val,train
mse,0.05418624356389046,0.037184808403253555,0.0281539224088192
mae,0.16451311111450195,0.14897391200065613,0.11963686347007751
rmse,0.232779398560524,0.19283363223075867,0.16779130697250366
winding_r2,0.9400638683812195,0.9588213305136108,0.9734374318574069
tooth_r2,0.9193456490785371,0.9518530624123758,0.9729154994284108
yoke_r2,0.9012570882360418,0.945395653526242,0.9681649360483564
overall_r2,0.9202222018985987,0.9520233488174094,0.9715059557780691
