,value
mse,483.5650634765625
mae,19.854482650756836
rmse,21.990110397338867
winding_r2,-0.09425462920404848
tooth_r2,-0.4033821192499123
yoke_r2,-0.18045937215040708
overall_r2,-0.22603204020143908
